region,station_id,station_name,observation_source,duration_min,max_rainfall_mm,intensity_mm_per_hr,start_time,end_time,estimated_return_period_label,estimated_return_period_year,frequency_band,lower_return_period_year,lower_rainfall_mm,upper_return_period_year,upper_rainfall_mm
10014010,10014010,???(????),HRFCO 수문 OpenAPI,60,9.0,9.0,2026-06-08 16:30,2026-06-08 17:20,2년,2.0,2년,,,2,31.5
10014010,10014010,???(????),HRFCO 수문 OpenAPI,120,9.0,4.5,2026-06-08 15:30,2026-06-08 17:20,2년,2.0,2년,,,2,44.7
10014010,10014010,???(????),HRFCO 수문 OpenAPI,180,9.0,3.0,2026-06-08 14:30,2026-06-08 17:20,2년,2.0,2년,,,2,55.4
10014010,10014010,???(????),HRFCO 수문 OpenAPI,360,9.0,1.5,2026-06-08 11:30,2026-06-08 17:20,2년,2.0,2년,,,2,78.2
10014010,10014010,???(????),HRFCO 수문 OpenAPI,540,9.0,1.0,2026-06-08 08:30,2026-06-08 17:20,2년,2.0,2년,,,2,91.7
10014010,10014010,???(????),HRFCO 수문 OpenAPI,720,10.0,0.833,2026-06-08 05:30,2026-06-08 17:20,2년,2.0,2년,,,2,108.2
10014010,10014010,???(????),HRFCO 수문 OpenAPI,1440,10.0,0.417,2026-06-07 17:30,2026-06-08 17:20,2년,2.0,2년,,,2,141.5
10014010,10014010,???(????),HRFCO 수문 OpenAPI,2880,10.0,0.208,2026-06-06 17:30,2026-06-08 17:20,2년,2.0,2년,,,2,173.9
